BAS.INSTNAME,Country,BAS.WEBSITE
Erhvervsakademiet Lillebælt,Denmark,https://www.eal.dk/international/
Erhvervsakademiet Copenhagen Business,Denmark,http://cphbusiness.dk/english/
Erhvervsakademi SydVest,Denmark,https://www.easv.dk/en/
Erhvervsakademi Midtvest,Denmark,http://www.eamv.dk/
Erhvervsakademi Aarhus,Denmark,https://www.baaa.dk
Danmarks Medie og Journalisthøjskole,Denmark,http://www.dmjx.dk/international
SIMAC,Denmark,https://simac.dk/bliv-studerende/adgangskursus
Kriminalforsorgens Uddannelsescenter,Denmark,https://blivfaengselsbetjent.dk/
Ilisimatusarfik,Denmark,http://uk.uni.gl/
Fróðskaparsetur Føroya,Denmark,http://setur.fo/en/
Den Frie Lærerskole,Denmark,https://laererskolen.dk
Københavns Professionshøjskole,Denmark,https://www.kp.dk/
Aarhus Maskinmesterskole,Denmark,https://aams.dk/en/
Det Kgl. Danske Musikkonservatorium,Denmark,https://english.dkdm.dk/
Rytmisk Musikkonservatorium,Denmark,https://rmc.dk/en#.YSTmQo4zYuU
Det Jyske Musikkonservatorium,Denmark,https://musikkons.dk/en/
Syddansk Musikkonservatorium,Denmark,https://www.sdmk.dk/en/
Politiskolen,Denmark,https://politi.dk/politiskolen
Den Danske Scenekunstskole,Denmark,https://ddsks.dk/en
Maskinmesterskolen København,Denmark,https://www.msk.dk/
Fredericia Maskinmesterskole,Denmark,http://www.fms.dk/index.php/
Martec - Frederikshavns Maritime uddannelsescenter,Denmark,https://www.martec.dk
Tartu Ülikool,Estonia,http://www.ut.ee/
Tallinna Tehnikaülikool,Estonia,http://www.ttu.ee
Tallinna Ülikool,Estonia,http://www.tlu.ee
Eesti Maaülikool,Estonia,http://www.emu.ee
Eesti Ettevõtluskõrgkool Mainor,Estonia,http://www.eek.ee
Tallinna Tehnikakõrgkool,Estonia,http://www.tktk.ee
Estonian Business School,Estonia,http://www.ebs.ee
Euroakadeemia,Estonia,https://www.euro-academy.com/
Tallinna Tervishoiu Kõrgkool,Estonia,http://www.ttk.ee
Tartu Tervishoiu Kõrgkool,Estonia,http://www.nooruse.ee
Eesti Kunstiakadeemia,Estonia,http://www.artun.ee
Tallinna Majanduskool,Estonia,http://www.tmk.edu.ee
Sisekaitseakadeemia,Estonia,http://www.sisekaitse.ee
Lääne-Viru Rakenduskõrgkool,Estonia,http://www.lvrkk.ee
Eesti Mereakadeemia,Estonia,http://www.emara.ee
Eesti Muusika- ja Teatriakadeemia,Estonia,http://www.ema.edu.ee
Eesti Infotehnoloogia Kolledž,Estonia,http://www.itcollege.ee/
Võrumaa Kutsehariduskeskus,Estonia,http://www.vkhk.ee
Eesti Lennuakadeemia,Estonia,http://www.eava.ee
Kõrgem Kunstikool Pallas,Estonia,https://pallasart.ee/
Eesti Hotelli- ja Turismikõrgkool,Estonia,http://www.ehte.ee
Arvutikolledž,Estonia,http://www.iati.ee
Eesti Metodisti Kiriku Teoloogiline Seminar,Estonia,http://www.emkts.ee
Kaitseväe Akadeemia,Estonia,http://www.ksk.edu.ee
EELK Usuteaduse Instituut,Estonia,http://ui.eelk.ee
EEKBKL Kõrgem Usuteaduslik Seminar,Estonia,https://kus.kogudused.ee/
Universidad de Almería,Spain,http://www.ual.es
Universidad de Cádiz,Spain,http://www.uca.es
Universidad de Córdoba,Spain,http://www.uco.es
Universidad de Granada,Spain,http://www.ugr.es
Universidad de Huelva,Spain,http://www.uhu.es
Universidad de Jaén,Spain,http://www.ujaen.es
Universidad de Málaga,Spain,http://www.uma.es
Universidad Pablo de Olavide,Spain,http://www.upo.es
Universidad de Sevilla,Spain,http://www.us.es
Universidad de Zaragoza,Spain,http://www.unizar.es/
Universidad de Oviedo,Spain,http://www.uniovi.es
Universitat de les Illes Balears,Spain,http://www.uib.cat
Universidad de La Laguna,Spain,http://www.ull.es
Universidad de Las Palmas de Gran Canaria,Spain,http://www.ulpgc.es
Universidad de Cantabria,Spain,http://www.unican.es
Universitat Autònoma de Barcelona,Spain,http://www.uab.es
Universitat de Barcelona,Spain,http://www.ub.edu
Universitat de Girona,Spain,http://www.udg.edu
Universitat de Lleida,Spain,http://www.udl.cat
Universitat Politècnica de Catalunya · BarcelonaTech,Spain,http://www.upc.edu
Universitat Pompeu Fabra,Spain,http://www.upf.edu
Universitat Rovira i Virgili,Spain,http://www.urv.cat
Universidad de Castilla-La Mancha,Spain,http://www.uclm.es
Universidad de Alicante,Spain,http://www.ua.es
Universidad Jaume I de Castellón,Spain,http://www.uji.es
Universidad Miguel Hernández de Elche,Spain,http://www.umh.es
Universidad Politécnica de Valencia,Spain,http://www.upv.es
Universitat de València (Estudi General),Spain,http://www.uv.es
Universidad de Burgos,Spain,http://www.ubu.es
Universidad de León,Spain,http://www.unileon.es
Universidad de Salamanca,Spain,http://www.usal.es
Universidad de Valladolid,Spain,http://www.uva.es/
Universidad de Extremadura,Spain,http://www.unex.es
Universidad de A Coruña,Spain,http://www.udc.es
Universidad de Santiago de Compostela,Spain,http://www.usc.es
Universidad de Vigo,Spain,http://www.uvigo.es
Universidad de Alcalá,Spain,http://www.uah.es
Universidad Autónoma de Madrid,Spain,http://www.uam.es
Universidad Carlos III de Madrid,Spain,http://www.uc3m.es
Universidad Complutense de Madrid,Spain,http://www.ucm.es
Universidad Politécnica de Madrid,Spain,http://www.upm.es
Universidad Rey Juan Carlos,Spain,http://www.urjc.es
Universidad de Murcia,Spain,http://www.um.es
Universidad Politécnica de Cartagena,Spain,http://www.upct.es
Universidad Pública de Navarra,Spain,http://www.unavarra.es
Universidad del País Vasco / Euskal Herriko Unibertsitatea,Spain,http://www.ehu.es
Universidad de La Rioja,Spain,http://www.unirioja.es
IE Universidad,Spain,http://www.ie.edu
Universidad a Distancia de Madrid (UDIMA),Spain,http://www.udima.es
Universidad Alfonso X El Sabio,Spain,http://www.uax.es
Universidad Antonio de Nebrija,Spain,http://www.nebrija.com
Universidad Camilo José Cela,Spain,http://www.ucjc.edu
Universidad Cardenal Herrera-CEU,Spain,http://www.uchceu.es
Universidad Católica Santa Teresa de Jesús de Ávila,Spain,http://www.ucavila.es
Universidad Católica de Valencia,Spain,http://www.ucv.es
Universidad Católica San Antonio de Murcia,Spain,http://www.ucam.edu
Universidad de Deusto,Spain,http://www.deusto.es
Universidad de Navarra,Spain,http://www.unav.edu
Universidad Europea de Madrid,Spain,https://universidadeuropea.es/
Universidad Europea Miguel de Cervantes,Spain,http://www.uemc.edu
Universidad Francisco de Vitoria,Spain,http://www.ufv.es
Universidad Internacional de Andalucía,Spain,http://www.unia.es
Universidad Internacional Isabel I de Castilla,Spain,http://www.ui1.es
Universidad Internacional de la Rioja,Spain,http://www.unir.net
Universidad Internacional Menéndez Pelayo,Spain,http://www.uimp.es
Universidad Mondragón Unibertsitatea,Spain,http://www.mondragon.edu
Universidad Nacional de Educación a Distancia,Spain,http://www.uned.es
Universidad Pontificia Comillas,Spain,https://www.comillas.edu/en/
Universidad Pontificia de Salamanca,Spain,http://www.upsa.es
Universidad San Jorge,Spain,https://www.usj.es/
Universidad San Pablo-CEU,Spain,http://www.uspceu.es
Universitat Abat Oliba CEU,Spain,https://www.uaoceu.es/
Universitat de Vic - Universitat Central de Catalunya,Spain,http://www.uvic.es
Universitat Internacional de Catalunya,Spain,http://www.uic.es
Universitat Internacional Valenciana (VIU),Spain,https://www.universidadviu.es/
Universitat Oberta de Catalunya,Spain,http://www.uoc.edu
Universitat Ramón Llull,Spain,http://www.url.es
Universidad Europea de Canarias,Spain,http://canarias.universidadeuropea.es/
Universidad Europea Valencia,Spain,http://valencia.universidadeuropea.es/
Universidad Loyola Andalucia,Spain,http://www.uloyola.es/
Universidad Europea del Atlántico,Spain,https://www.uneatlantico.es/
Universidad Fernando Pessoa-Canarias,Spain,http://www.ufpcanarias.es/
Universidad del Atlántico Medio,Spain,https://www.universidadatlanticomedio.es/
Universidad Internacional Villanueva,Spain,https://www.villanueva.edu/
Universidad Euneiz,Spain,https://www.euneiz.com/
Universidad Intercontinental de la Empresa,Spain,https://uie.edu/
ESIC Universidad,Spain,https://www.esic.edu
Colegio Universitario de Estudios Financieros,Spain,https://www.cunef.edu
Universidad Internacional de la Empresa,Spain,http://www.universidadunie.com/
Helsingin yliopisto,Finland,http://www.helsinki.fi/university/index.html
Turun yliopisto,Finland,https://www.utu.fi/en
Åbo Akademi,Finland,http://www.abo.fi/?lang=en
Oulun yliopisto,Finland,http://www.oulu.fi/english/
Tampereen yliopisto,Finland,http://www.uta.fi/en
Jyväskylän yliopisto,Finland,http://www.jyu.fi/en/
Svenska handelshögskolan,Finland,https://www.hanken.fi/en
Vaasan yliopisto,Finland,https://www.uwasa.fi/en
Lappeenrannan-Lahden teknillinen yliopisto LUT,Finland,http://www.lut.fi/web/en/
Tampereen teknillinen yliopisto,Finland,http://www.tut.fi/en/
Sibelius-Akatemia,Finland,http://www.uniarts.fi/en/
Lapin yliopisto,Finland,http://www.ulapland.fi/InEnglish
Maanpuolustuskorkeakoulu,Finland,http://maanpuolustuskorkeakoulu.fi/en/frontpage
Aalto-yliopisto,Finland,http://www.aalto.fi/en/
Itä-Suomen yliopisto,Finland,http://www.uef.fi/en/uef
Taideyliopisto,Finland,http://www.uniarts.fi
Lapin ammattikorkeakoulu,Finland,http://www.lapinamk.fi/en
Högskolan på Åland,Finland,https://www.ha.ax/en/
HAAGA-HELIA ammattikorkeakoulu,Finland,http://www.haaga-helia.fi/en/frontpage
Metropolia ammattikorkeakoulu,Finland,http://www.metropolia.fi/en/
Yrkeshögskolan Novia,Finland,http://www.novia.fi/novia-uas/
Tampereen yliopisto,Finland,https://www.tuni.fi/en/
Tampereen ammattikorkeakoulu,Finland,http://www.tamk.fi/en
Hämeen ammattikorkeakoulu,Finland,https://www.hamk.fi/?lang=en
Karelia-ammattikorkeakoulu,Finland,http://www.karelia.fi/en/
Lahden ammattikorkeakoulu,Finland,https://www.lamk.fi/en
Oulun ammattikorkeakoulu,Finland,http://www.oamk.fi/english/
Seinäjoen ammattikorkeakoulu,Finland,http://www.seamk.fi/en
Kajaanin ammattikorkeakoulu,Finland,http://www.kamk.fi/en
Jyväskylän ammattikorkeakoulu,Finland,http://www.jamk.fi/en/Home/
Mikkelin ammattikorkeakoulu,Finland,http://www.mamk.fi/index.asp
Satakunnan ammattikorkeakoulu,Finland,http://www.samk.fi/english/
Turun ammattikorkeakoulu,Finland,http://www.tuas.fi/en
Yrkeshögskolan Arcada,Finland,http://www.arcada.fi/en
Centria ammattikorkeakoulu,Finland,http://web.centria.fi/
Savonia ammattikorkeakoulu,Finland,http://portal.savonia.fi/amk/en/
Poliisiammattikorkeakoulu,Finland,http://www.polamk.fi/en
Kymenlaakson ammattikorkeakoulu,Finland,http://www.kyamk.fi/Frontpage
Saimaan ammattikorkeakoulu,Finland,https://www.saimia.fi/en-fi/
Diakonia-ammattikorkeakoulu,Finland,http://www.diak.fi/en/diak/
Vaasan ammattikorkeakoulu,Finland,http://www.puv.fi/en/
Laurea ammattikorkeakoulu,Finland,http://www.laurea.fi/en
Humanistinen ammattikorkeakoulu,Finland,http://www.humak.fi/en
Kaakkois-Suomen ammattikorkeakoulu,Finland,https://www.xamk.fi/en/frontpage/
LAB-ammattikorkeakoulu,Finland,https://www.lab.fi/en
Université Nice - Sophia-Antipolis,France,http://unice.fr/
Université de technologie de Troyes,France,http://www.utt.fr/
École de l'air,France,https://www.ecole-air-espace.fr/
École nationale supérieure d'architecture de Marseille,France,http://www.marseille.archi.fr/
École supérieure d'art et de design Marseille-Mediterranée,France,http://www.esadmm.fr/
École centrale de Marseille,France,http://www.centrale-marseille.fr/
Aix-Marseille université,France,http://www.univ-amu.fr/
Université de Caen Basse-Normandie,France,http://www.unicaen.fr/
École supérieure d'arts et médias de Caen - Cherbourg,France,http://www.esam-c2.fr/
École nationale supérieure d'ingénieurs de Caen,France,http://www.ensicaen.fr/
École supérieure d'ingénieurs des travaux de la construction de Caen,France,http://www.esitc-caen.fr/
École européenne supérieure de l'image,France,http://www.eesi.eu/
École d'ingénieurs en génie des systèmes industriels,France,http://www.eigsi.fr/
Université de La Rochelle,France,http://www.univ-larochelle.fr/
École nationale supérieure d'art de Bourges,France,http://www.ensa-bourges.fr/
École nationale supérieure d'ingénieurs de Bourges,France,http://www.ensi-bourges.fr/
École nationale supérieure d'art de Dijon,France,http://www.ensa-dijon.fr/
Université de Bourgogne,France,http://www.u-bourgogne.fr/
École nationale des greffes,France,http://www.eng.justice.fr/?
"Institut national supérieur des sciences agronomiques, de l'alimentation et de l'environnement",France,http://www.agrosupdijon.fr/
École nationale supérieure de mécanique et des microtechniques,France,http://www.ens2m.fr/
Université de Franche-Comté,France,http://www.univ-fcomte.fr/
École nationale d'ingénieurs de Brest,France,http://www.enib.fr/
École Navale,France,http://www.ecole-navale.fr/
École nationale supérieure de techniques avancées Bretagne,France,http://www.ensta-bretagne.fr/
Université de Bretagne Occidentale,France,http://www.univ-brest.fr/
Télécom Bretagne,France,http://www.telecom-bretagne.eu/ecole/
Institut supérieur de l'électronique et du numérique Brest,France,https://isen-brest.fr/
École des mines d'Alès,France,http://www.mines-ales.fr/
Université de Nîmes,France,http://www.unimes.fr/
Institut supérieur des Arts de Toulouse,France,http://www.isdat.eu/
École nationale supérieure d'architecture de Toulouse,France,http://www.toulouse.archi.fr/
Institut national des sciences appliquées de Toulouse,France,http://www.insa-toulouse.fr/
École d'ingénieurs de Purpan,France,http://www.purpan.fr/
Institut catholique de Toulouse,France,http://www.ict-toulouse.fr/fr/index.html
École nationale de l'aviation civile,France,http://www.enac.fr/
Institut national polytechnique de Toulouse,France,http://www.inp-toulouse.fr/
Université Toulouse 1 - Capitole,France,http://www.ut-capitole.fr/
Université Toulouse - Jean Jaurès,France,http://www.univ-tlse2.fr/
Université de Toulouse 3 - Paul Sabatier,France,http://www.univ-tlse3.fr/
Institut supérieur de l'aéronautique et de l'espace,France,https://www.isae-supaero.fr/fr/
École nationale supérieure d'architecture et de paysage de Bordeaux,France,http://www.bordeaux.archi.fr/
École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine,France,http://www.agro-bordeaux.fr/
Université Bordeaux 1 Sciences et Technologies,France,http://www.u-bordeaux1.fr/
Université Bordeaux 2 Segalen,France,http://www.univ-bordeauxsegalen.fr/en/index.html
Université Bordeaux Montaigne,France,http://www.u-bordeaux3.fr/
École des beaux-arts de Bordeaux,France,http://www.ebabx.fr
École nationale de la magistrature,France,https://www.enm.justice.fr/
Institut polytechnique de Bordeaux,France,https://www.bordeaux-inp.fr/fr
École nationale supérieure de chimie de Montpellier,France,http://www.enscm.fr/
École nationale supérieure d’architecture de Montpellier,France,http://www.montpellier.archi.fr/
Université Montpellier 1,France,http://www.univ-montp1.fr/
Université Montpellier 2 - Sciences et Techniques,France,http://www.univ-montp2.fr/
Université Montpellier 3 - Paul-Valéry,France,http://www.univ-montp3.fr/
Institut national d'études supérieures agronomiques de Montpellier,France,https://www.montpellier-supagro.fr/
École nationale supérieure de chimie de Rennes,France,http://www.ensc-rennes.fr/
École nationale supérieure d'architecture de Bretagne,France,http://www.rennes.archi.fr/
École régionale des beaux-arts de Rennes,France,https://www.eesab.fr/rennes
École des hautes études en santé publique,France,http://www.ehesp.fr/
Institut national des sciences appliquées de Rennes,France,http://www.insa-rennes.fr/
Université de Rennes 1,France,http://www.univ-rennes1.fr/
Université Rennes 2,France,http://www.univ-rennes2.fr/
ECAM Rennes Louis de Broglie,France,http://www.ecam-rennes.fr/
Institut catholique de Rennes,France,http://www.icrennes.com/
École des métiers de l'environnement,France,http://www.ecole-eme.fr/
École des Avocats du Grand Ouest,France,http://www.edago.fr/
École nationale de la statistique et de l'analyse de l'information,France,http://www.ensai.fr/
"Institut supérieur des sciences agronomiques, agroalimentaires, horticoles et du paysage",France,https://www.agrocampus-ouest.fr/
Université de Tours,France,http://www.univ-tours.fr/
École nationale supérieure d'architecture de Grenoble,France,http://www.grenoble.archi.fr/
École supérieure d'art de Grenoble,France,http://www.esad-gv.fr/fr/
Université Joseph Fourier,France,http://www.ujf-grenoble.fr/
Université Pierre Mendès France,France,http://www.upmf-grenoble.fr/
Université Stendhal,France,http://www.u-grenoble3.fr/
Grenoble INP,France,http://www.grenoble-inp.fr/
Communauté Université Grenoble-Alpes,France,http://www.grenoble-univ.fr/
École nationale d'ingénieurs du Val de Loire,France,http://www.enivl.fr/
École supérieure d'art et design Saint-Étienne,France,http://www.esadse.fr/
École nationale d'ingénieurs de Saint-Étienne,France,http://www.enise.fr/
Telecom Saint-Étienne,France,http://www.telecom-st-etienne.fr/
Université Jean Monnet,France,https://www.univ-st-etienne.fr/fr/index.html
École nationale supérieure d'architecture de Saint-Étienne,France,http://www.st-etienne.archi.fr/
Ecole centrale de Nantes,France,http://www.ec-nantes.fr/
École nationale supérieure d'architecture de Nantes,France,http://www.nantes.archi.fr/
École supérieure des beaux-arts de Nantes Métropole,France,http://www.beauxartsnantes.fr/
Université de Nantes,France,http://www.univ-nantes.fr/
Institut régional d'administration de Nantes,France,http://www.ira-nantes.gouv.fr/
École nationale d'ingénieurs des techniques des industries agricoles et alimentaires,France,http://www.oniris-nantes.fr/
École nationale supérieure des mines de Nantes,France,http://www.mines-nantes.fr/en/
École supérieure du bois,France,http://www.ecoledubois.fr/
Université d'Orléans,France,http://www.univ-orleans.fr/
École supérieure d'art et de design d'Orléans,France,https://esadorleans.fr/
École nationale d'administration pénitentiaire,France,http://www.enap.justice.fr/
École régionale des beaux-arts d'Angers,France,http://angers.esba-talm.fr/
École supérieure d'agriculture d'Angers,France,http://www.groupe-esa.com/
École supérieure d'électronique de l'Ouest,France,http://www.eseo.fr/
Facultés libres de l'Ouest,France,http://www.uco.fr/
Université d'Angers,France,http://www.univ-angers.fr/
École supérieure angevine en informatique et productique,France,http://www.esaip.org/
École supérieure d'art et de design de Reims,France,http://www.esad-reims.fr/
Université de Reims Champagne-Ardenne,France,http://www.univ-reims.fr/
École nationale supérieure d'architecture de Nancy,France,http://www.nancy.archi.fr/
École nationale supérieure d'art de Nancy,France,http://www.ensa-nancy.fr/
Université de Lorraine,France,http://www.univ-lorraine.fr/
École spéciale militaire de Saint-Cyr,France,http://www.st-cyr.terre.defense.gouv.fr/
École militaire interarmes,France,http://www.st-cyr.terre.defense.gouv.fr/index.php/Les-Ecoles/L-Ecole-Militaire-Interarmes
Université de Bretagne-Sud,France,http://www.univ-ubs.fr/
École nationale d'ingénieurs de Metz,France,http://enim.univ-lorraine.fr/
Institut régional d'administration de Metz,France,http://www.ira-metz.fr/
École supérieure d'ingénieurs des travaux de la construction de Metz,France,http://www.esitc-metz.com/
École nationale supérieure de chimie de Lille,France,http://www.ensc-lille.fr/
École nationale supérieure d'architecture et de paysage de Lille,France,http://www.lille.archi.fr/
École nationale supérieure des arts et industries textiles,France,http://www.ensait.fr/
École nationale supérieure des mines de Douai,France,http://www2.mines-douai.fr/index.php
Groupe Institut supérieur d'agriculture de Lille,France,http://www.isa-lille.fr/
Institut catholique de Lille,France,http://www.univ-catholille.fr/?
Institut supérieur de l'électronique et du numérique Lille,France,https://www.isen-lille.fr/
Hautes études d'ingénieur,France,http://www.hei.fr/
Centrale Lille Institut,France,http://centralelille.fr/
Université Polytechnique Hauts-de-France,France,http://www.uphf.fr/
Université Lille 1 - Sciences technologies,France,http://www.univ-lille1.fr/
Université Lille 2 - Droit et Santé,France,http://www.univ-lille2.fr/
Université Lille 3 - Charles-de-Gaulle,France,http://www.univ-lille3.fr/
Institut régional d'administration de Lille,France,https://www.ira-lille.gouv.fr/
Université du Littoral Côte d'Opale,France,http://www.univ-littoral.fr/
IXAD École des avocats de la région Nord-Ouest,France,http://www.cfpa-online.com/
Université de technologie de Compiègne,France,http://www.utc.fr/
École supérieure de chimie organique et minérale,France,http://www.escom.fr/
Université d'Artois,France,http://www.univ-artois.fr/
École nationale supérieure de chimie de Clermont-Ferrand,France,http://www.ensccf.fr/
Ecole nationale des finances publiques,France,https://www.impots.gouv.fr/portail/lecole-nationale-des-finances-publiques-enfip-0
Université d'Auvergne,France,http://www.u-clermont1.fr/
École nationale supérieure d'architecture de Clermont-Ferrand,France,http://www.clermont-fd.archi.fr/
Université Blaise Pascal,France,http://www.univ-bpclermont.fr/
VetAgro Sup Lempdes,France,https://www.vetagro-sup.fr
Institut français de mécanique avancée,France,http://www.ifma.fr/
Université de Pau et des Pays de l'Adour,France,http://www.univ-pau.fr/
École supérieure d’art des Pyrénées — Pau Tarbes,France,http://www.esapyrenees.fr/
École supérieure des technologies industrielles avancées,France,http://www.estia.fr/
École nationale d'ingénieurs de Tarbes,France,http://www.enit.fr/
Université de Perpignan - Via Domitia,France,http://www.univ-perp.fr/
École nationale supérieure d'architecture de Strasbourg,France,http://www.strasbourg.archi.fr/
École supérieure des arts décoratifs de Strasbourg,France,http://www.esad-stg.org/
École nationale du génie de l'eau et de l'environnement de Strasbourg,France,http://engees.unistra.fr/
Institut national des sciences appliquées de Strasbourg,France,http://www.insa-strasbourg.fr/
Université de Strasbourg,France,http://www.unistra.fr/
Université de Haute-Alsace,France,http://www.uha.fr/
École nationale supérieure d'architecture de Lyon,France,http://www.lyon.archi.fr/
École nationale supérieure des beaux-arts de Lyon,France,http://www.ensba-lyon.fr/
École centrale de Lyon,France,http://www.ec-lyon.fr/
Institut national des sciences appliquées de Lyon,France,http://www.insa-lyon.fr/
École catholique d'arts et métiers LaSalle,France,http://www.ecam.fr/
Institut catholique de Lyon,France,https://www.ucly.fr/
Université Claude Bernard - Lyon 1,France,http://www.univ-lyon1.fr/
Université Lumière - Lyon 2,France,http://www.univ-lyon2.fr/
Institut régional d'administration de Lyon,France,https://www.ira-lyon.gouv.fr
Institut supérieur d'agriculture et d'agroalimentaire Rhône-Alpes,France,http://www.isara.fr/
Université Jean Moulin - Lyon 3,France,http://www.univ-lyon3.fr/
École nationale supérieure des sciences de l'information et des bibliothèques,France,http://www.enssib.fr/
École nationale des travaux publics de l'État,France,http://www.entpe.fr/
Conservatoire national supérieur musique et danse de Lyon,France,http://www.cnsmd-lyon.fr/
Institut textile et chimique,France,http://www.itech.fr/
École supérieure chimie physique électronique de Lyon,France,http://www.cpe.fr/
École des avocats Rhône-Alpes,France,http://www.edara.fr/
École normale supérieure de Lyon,France,http://www.ens-lyon.eu/
Le Mans Université,France,http://www.univ-lemans.fr/
Université de Savoie Mont Blanc,France,https://www.univ-smb.fr/
École d'ingénieur de la ville de Paris,France,http://www.eivp-paris.fr/
"Faculté Libre de Droit, d’Economie et de Gestion",France,http://facoparis.com/
Université Paris-Dauphine,France,http://www.dauphine.fr/
Université Paris 1 - Panthéon Sorbonne,France,http://www.pantheonsorbonne.fr/
Université Panthéon-Assas,France,http://www.u-paris2.fr/
Université Sorbonne Nouvelle - Paris 3,France,http://www.univ-paris3.fr/
Université Paris-Sorbonne,France,http://www.paris-sorbonne.fr/
Université Paris Descartes,France,https://www.parisdescartes.fr/
Université Pierre et Marie Curie,France,http://www.upmc.fr/
Université Paris Diderot,France,http://www.univ-paris-diderot.fr/
École nationale supérieure d'architecture de Paris-Malaquais,France,https://paris-malaquais.archi.fr/
École nationale supérieure d'architecture de Paris-La Villette,France,http://www.paris-lavillette.archi.fr/
École nationale supérieure d'architecture de Paris-Belleville,France,http://www.paris-belleville.archi.fr/
Groupe ESPI École supérieure des professions immobilières,France,https://www.groupe-espi.fr/
École nationale supérieure d'arts et métiers,France,https://artsetmetiers.fr/
École nationale supérieure de chimie de Paris,France,http://www.chimieparistech.psl.eu/
Institut de physique du globe,France,http://www.ipgp.fr/
École supérieure de physique et de chimie industrielles de la ville de Paris,France,http://www.espci.fr/en/
Institut d'études politiques de Paris,France,http://www.sciencespo.fr/
École normale supérieure de Paris,France,http://www.ens.fr/
Institut des sciences et industries du vivant et de l'environnement,France,http://www.agroparistech.fr/
École nationale supérieure des arts décoratifs,France,http://www.ensad.fr/
Conservatoire national des arts et métiers,France,http://www.cnam.fr/
École nationale des Chartes,France,http://www.chartes.psl.eu/
Collège de France,France,http://www.college-de-france.fr/
École pratique des hautes études,France,https://www.ephe.fr/
Institut national des langues et civilisations orientales,France,http://www.inalco.fr/
École du Louvre,France,http://www.ecoledulouvre.fr/index2.html
École nationale supérieure des mines de Paris,France,http://www.mines-paristech.fr/
Muséum national d'histoire naturelle,France,https://www.mnhn.fr/en
Conservatoire national supérieur de musique et de danse de Paris,France,http://www.conservatoiredeparis.fr/accueil/
Observatoire de Paris,France,http://www.obspm.fr/
Télécom Paris,France,https://www.telecom-paris.fr/
Institut Catholique de Paris,France,http://www.icp.fr/en
Institut supérieur d'électronique de Paris,France,http://www.isep.fr/
"École supérieure d'informatique, électronique, automatique",France,http://www.esiea.fr/
École nationale supérieure des beaux-arts,France,http://www.beauxartsparis.fr/en/
École des hautes études en sciences sociales,France,http://www.ehess.fr/
École centrale d'électronique,France,http://www.ece.fr/
École nationale supérieure d'architecture de Paris-Val de Seine,France,http://www.paris-valdeseine.archi.fr/
École nationale supérieure de création industrielle,France,http://www.ensci.com/
École de formation professionnelle des barreaux de la cour d'appel de Paris,France,http://www.efb.fr/
Centre des études supérieures industrielles,France,http://www.cesi.fr/
Institut catholique d'arts et métiers,France,http://www.icam.fr/
Pôle supérieur d’enseignement artistique Paris Boulogne-Billancourt,France,http://www.pspbb.fr/site/
École nationale supérieure d'architecture de Normandie,France,http://www.rouen.archi.fr/
Institut national des sciences appliquées de Rouen,France,https://www.insa-rouen.fr/
Université de Rouen,France,http://www.univ-rouen.fr/
École supérieure d'ingénieurs en génie électrique,France,http://www.esigelec.fr/
Université du Havre,France,http://www.univ-lehavre.fr/
École supérieure d’ingénieurs et de techniciens pour l’agriculture,France,http://www.esitpa.org/
École des officiers de la gendarmerie nationale,France,https://www.gendarmerie.interieur.gouv.fr/eogn
Université Paris-Est Marne-la-Vallée,France,http://www.u-pem.fr/
École nationale des ponts et chaussées,France,http://www.enpc.fr/
École d'architecture de la ville et des territoires à Marne-la-Vallée,France,http://www.marnelavallee.archi.fr/
Université Paris-Est,France,https://www.paris-est-sup.fr/
École nationale supérieure d’architecture de Versailles,France,http://www.versailles.archi.fr/
École des beaux-arts de Versailles,France,https://www.versailles.fr/53/culture/ecole-des-beaux-arts.htm
Université de Versailles Saint-Quentin-en-Yvelines,France,http://www.uvsq.fr/
Université de Picardie Jules Verne,France,http://www.u-picardie.fr/
École Supérieure d'Ingénieurs en Électronique et Électrotechnique Amiens,France,http://www.esiee-amiens.fr/
École nationale supérieure des mines d'Albi-Carmaux,France,https://www.imt-mines-albi.fr/
Institut national universitaire Jean-François-Champollion,France,http://www.univ-jfc.fr/
Université de Toulon,France,http://www.univ-tln.fr/
Institut supérieur de l'électronique et du numérique Toulon,France,https://web-toulon.isen.fr/
Université d'Avignon,France,http://www.univ-avignon.fr/
Institut catholique d'études supérieures,France,http://www.ices.fr/
École nationale supérieure de mécanique et d'aérotechnique de Poitiers,France,http://www.ensma.fr/
Université de Poitiers,France,http://www.univ-poitiers.fr/
Université de Limoges,France,http://www.unilim.fr/
École nationale supérieure de céramique industrielle de Limoges,France,http://www.ensci.fr/
Institut d'ingénierie informatique de Limoges,France,http://www.3il-ingenieurs.fr/
Université de technologie de Belfort-Montbéliard,France,http://www.utbm.fr/
Institut d'Optique Graduate School,France,http://www.institutoptique.fr/
Université Paris-Sud,France,http://www.u-psud.fr/
École supérieure d'électricité,France,http://www.supelec.fr/
École polytechnique,France,http://www.polytechnique.edu/
Télécom SudParis,France,https://www.telecom-sudparis.eu/
Université d'Évry-Val d'Essonne,France,http://www.univ-evry.fr/
Institut Mines-Télécom Business School,France,https://www.imt-bs.eu/
École nationale supérieure d'informatique pour l'industrie et l'entreprise,France,http://www.ensiie.fr/
